Loading core dump: .\Order.API-11.dmp ...
Statistics:
          MT  Count  TotalSize Class Name
7ffcd1199878      1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Reflection.ConstructorInfo[]>>
7ffcd119a040      1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Type>>+<>c
7ffcd119a1e0      1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Type>>
7ffcd1175270      1         24 System.WeakReference<Autofac.Core.ReflectionCacheSet>
7ffcd119b808      1         24 Autofac.Builder.DeferredCallback[]
7ffcd11a4b78      1         24 Autofac.Core.Activators.Reflection.DefaultConstructorFinder
7ffcd11a4c78      1         24 Autofac.Core.Activators.Reflection.MostParametersConstructorSelector
7ffcd11a5480      1         24 System.EventHandler<Autofac.Core.ComponentRegisteredEventArgs>[]
7ffcd11a62f0      1         24 Autofac.Core.Lifetime.CurrentScopeLifetime
7ffcd11a7258      1         24 Autofac.Core.Lifetime.RootScopeLifetime
