Loading core dump: .\Order.API-3.dmp ...
Statistics:
          MT   Count  TotalSize Class Name
7ffcf403aff0       1         24 Microsoft.Extensions.DependencyInjection.MediatRServiceConfiguration+<>c
7ffcf403b868       1         24 MediatR.NotificationPublishers.ForeachAwaitPublisher
7ffcf403c7b8       1         24 MediatR.Registration.ServiceRegistrar+<>c
7ffcf41f11d8       1         24 System.Buffers.SharedArrayPool<System.Type>+<>c
7ffcf41f20c8       1         24 Microsoft.Extensions.Hosting.HostingHostBuilderExtensions+<>c__DisplayClass10_0<Autofac.ContainerBuilder>
7ffcf41f26b8       1         24 Microsoft.AspNetCore.Builder.ConfigureHostBuilder+<>c__DisplayClass10_0<Autofac.ContainerBuilder>
7ffcf41f27e0       1         24 Autofac.Extensions.DependencyInjection.AutofacServiceProviderFactory+<>c
7ffcf41f2b68       1         24 Microsoft.AspNetCore.Builder.ConfigureHostBuilder+ServiceProviderFactoryAdapter<Autofac.ContainerBuilder>
7ffcf3609128       1         24 Order.API.Program+<>c
7ffcf41f3350       1         24 Serilog.SerilogServiceCollectionExtensions+<>c
7ffcf41f37a8       1         24 Serilog.SerilogServiceCollectionExtensions+<>c__DisplayClass4_0
7ffcf41f8218       1         24 System.Collections.Generic.ObjectEqualityComparer<Autofac.Core.Service>
7ffcf41f8938       1         24 Autofac.Core.Registration.IServiceMiddlewareSource[]
7ffcf41f9910       1         24 Autofac.Core.InternalReflectionCaches+<>c
7ffcf4217af8       1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheAssemblyDictionary<System.Reflection.Assembly, System.Collections.Generic.IEnumerable<System.Type>>>
7ffcf4218f70       1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Boolean>>+<>c
7ffcf4219130       1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Boolean>>
7ffcf4219b28       1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheTupleDictionary<System.Type, System.Boolean>>+<>c
7ffcf4219cc8       1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheTupleDictionary<System.Type, System.Boolean>>
7ffcf421ac90       1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Reflection.ConstructorInfo, System.Func<System.Object[], System.Object>>>+<>c
7ffcf421ae30       1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Reflection.ConstructorInfo, System.Func<System.Object[], System.Object>>>
7ffcf421b5a8       1         24 System.Collections.Generic.ObjectEqualityComparer<System.Reflection.ConstructorInfo>
7ffcf421b868       1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Reflection.PropertyInfo, System.Action<System.Object, System.Object>>>+<>c
7ffcf421ba08       1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Reflection.PropertyInfo, System.Action<System.Object, System.Object>>>
7ffcf421c170       1         24 System.Collections.Generic.ObjectEqualityComparer<System.Reflection.PropertyInfo>
7ffcf421c430       1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Collections.Generic.IReadOnlyList<System.Reflection.PropertyInfo>>>+<>c
7ffcf421c5d0       1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Collections.Generic.IReadOnlyList<System.Reflection.PropertyInfo>>>
7ffcf421cd48       1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Reflection.ConstructorInfo[]>>+<>c
7ffcf421cee8       1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Reflection.ConstructorInfo[]>>
7ffcf421d6b0       1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Type>>+<>c
7ffcf421d850       1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Type>>
7ffcf41f89e0       1         24 System.WeakReference<Autofac.Core.ReflectionCacheSet>
7ffcf421ee78       1         24 Autofac.Builder.DeferredCallback[]
7ffcf42284f8       1         24 Autofac.Core.Activators.Reflection.DefaultConstructorFinder
7ffcf42285f8       1         24 Autofac.Core.Activators.Reflection.MostParametersConstructorSelector
7ffcf4228e00       1         24 System.EventHandler<Autofac.Core.ComponentRegisteredEventArgs>[]
7ffcf4229c70       1         24 Autofac.Core.Lifetime.CurrentScopeLifetime
7ffcf422aa58       1         24 Autofac.Core.Lifetime.RootScopeLifetime
7ffcf4223070       1         24 Autofac.Extensions.DependencyInjection.AnyKeyRegistrationSource
7ffcf4233a98       1         24 Autofac.Util.Enforce+<>c__0<Autofac.Core.Service>
7ffcf3d5c240       1         24 Order.API.Dependency.Business.CommonModule
7ffcf3d5c8d0       1         24 Order.API.Dependency.Business.ServiceModule
7ffcf3d5c6a0       1         24 Order.API.Dependency.Business.OrderModule
7ffcf3d5c9e8       1         24 Order.API.Dependency.Business.SubOrderModule
7ffcf3d5b388       1         24 Order.API.Dependency.EventBus.EventBusModule
7ffcf3608ce8       1         24 Autofac.Builder.ContainerBuildOptions
7ffcf4236760       1         24 Autofac.Core.SelfComponentRegistration+<>c
7ffcf4237568       1         24 Autofac.Core.Registration.DefaultRegisteredServicesTracker+<>c
7ffcf4239aa8       1         24 Autofac.Features.Collections.CollectionRegistrationSource
7ffcf429dc18       1         24 System.Collections.Generic.ObjectEqualityComparer<System.Linq.Expressions.ParameterExpression>
7ffcf42b75d0       1         24 System.Collections.Generic.ObjectEqualityComparer<System.Linq.Expressions.LambdaExpression>
7ffcf42b77f0       1         24 System.Linq.Expressions.Compiler.CompilerScope[]
